Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2000828,BY3TstApp13B,BY3,NULL,00:00.0,00:00.0,34:04.1,34:04.1,00:00.0,NULL,00:00.0
2000830,BL4PrdApp08,BL4,NULL,00:00.0,00:00.0,20:28.5,20:28.5,00:00.0,00:00.0,00:00.0
2000887,BN3TstApp01,BN3,NULL,00:00.0,00:00.0,53:32.9,53:32.9,NULL,NULL,NULL
2000888,BN3TstApp11,BN3,NULL,00:00.0,00:00.0,10:29.3,10:29.3,NULL,NULL,NULL
2000889,BN3TstApp21,BN3,NULL,00:00.0,00:00.0,20:43.7,20:43.7,NULL,NULL,NULL
2000891,SH3PrdApp01-XTransport02,SH3,NULL,00:00.0,00:00.0,58:34.6,58:34.6,00:00.0,00:00.0,00:00.0
2000892,BJBPrdApp01-XTransport02,BJB,NULL,00:00.0,00:00.0,20:39.2,20:39.2,00:00.0,00:00.0,00:00.0
2001488,AM3PrdApp16,AM3,NULL,00:00.0,NULL,22:41.2,NULL,00:00.0,NULL,00:00.0
2001522,DB5PrdApp01,DB5,NULL,00:00.0,00:00.0,53:47.4,53:47.4,00:00.0,NULL,00:00.0
2001723,BN3PrdApp02,BN3,NULL,00:00.0,NULL,18:25.2,NULL,00:00.0,NULL,00:00.0
2001724,BY3PrdApp07,BY3,NULL,00:00.0,NULL,43:56.0,NULL,00:00.0,NULL,00:00.0
2001730,BL4PrdApp02,BL4,NULL,00:00.0,00:00.0,01:31.5,01:31.5,00:00.0,00:00.0,00:00.0
2001732,BL4PrdApp02B,BL4,NULL,00:00.0,00:00.0,01:47.9,01:47.9,00:00.0,00:00.0,00:00.0
2002061,BY3TstApp01,BY3,NULL,00:00.0,00:00.0,37:09.5,37:09.5,NULL,NULL,NULL
2002099,AM3PrdApp18,AM3,NULL,00:00.0,NULL,21:53.9,NULL,00:00.0,NULL,00:00.0
2002102,BY3PrdApp12,BY3,NULL,00:00.0,00:00.0,22:09.7,22:09.7,00:00.0,NULL,00:00.0
2002117,DM2PrdApp08,DM2,NULL,00:00.0,00:00.0,06:52.8,06:52.8,00:00.0,NULL,00:00.0
2002208,BY3PrdApp15,BY3,NULL,00:00.0,00:00.0,35:13.2,35:13.2,00:00.0,NULL,00:00.0
2002217,BY3PrdApp11,BY3,NULL,00:00.0,NULL,45:50.2,NULL,00:00.0,NULL,00:00.0
2002220,BN3PrdApp06,BN3,NULL,00:00.0,00:00.0,40:35.3,40:35.3,00:00.0,NULL,00:00.0
2002568,TY1PrdApp02,TY1,NULL,00:00.0,00:00.0,45:27.7,45:27.7,00:00.0,NULL,00:00.0
2002924,CQ1PrdApp04,CQ1,NULL,00:00.0,00:00.0,01:01.5,01:01.5,00:00.0,00:00.0,00:00.0
2002927,BY3PrdApp17,BY3,NULL,00:00.0,00:00.0,48:23.3,48:23.3,00:00.0,NULL,00:00.0
2002953,AM2PrdApp01,AM2,NULL,00:00.0,00:00.0,05:24.0,05:24.0,00:00.0,00:00.0,00:00.0
2002957,BN3PrdApp05,BN3,NULL,00:00.0,00:00.0,10:31.4,10:31.4,00:00.0,NULL,00:00.0
2002967,TY1PrdApp04,TY1,NULL,00:00.0,00:00.0,40:10.6,40:10.6,00:00.0,00:00.0,00:00.0
2002973,SY3PrdApp03,SY3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002978,SN3PrdApp15,SN3,NULL,00:00.0,00:00.0,32:28.0,32:28.0,00:00.0,NULL,00:00.0
